diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,image_name
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f14e0330518ecdef4c7199118e45193f7fcb3e06,2D,"(1.0, 1.0)","(224, 224)",109.53308354591837,0.0,184.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",62.0,145.0,557468672.0,2.130786896467675,29.0,5.9287302247412415,184.0,25.390603997726608,111.89979091995221,121.0,0.0,184.0,13.263960862950718,117.79500786931803,-1.7883217834194403,557468672.0,0.2865412074367803,1354.100671003677,27.25373144326139,307.3807781006043,-32.31373119889562,7.499756505422798,0.2746618036316968,0.9291548522746133,0.1724460661924456,0.6843841739992815,0.24400868795382813,0.9259152437540517,0.9234178519589679,0.996085344018286,0.9818434791669665,-0.6500723880491561,0.9664447844298008,0.12520721542959223,5.044539370201749,0.22450587476010292,2.8384091696089655,0.9726121607928099,0.3274501784226226,10.089078740403494,2.6106729270921525,1.9436045772636241,4.060853546954106,15401.288829151732,0.3833455005264768,3.3001752241352706,11512.079549980088,2.0072695367136886,27.187051971326166,64.09094982078852,1762.3660145360413,7.121264439266264,0.10527060917083879,0.026982814840576998,0.6936446662196414,0.0024799380412766966,1380.8471262080418,0.22881029347947726,1.9964100750782658,25.734893038391824,134.81908462248055,3724.7723707838195,14.704418617412518,0.0830791568548981,6.042291043065795,858.23905515984,0.13851635293347353,0.1503945141377937,87.02628303413377,0.3651517897401444,8.348251580467606,0.029714279945144695,79.14317673378076,0.17705408665275338,2.5079150588812316,25.77181208053691,392445.0693512304,10934352.328859061,18322.99586398299,0.07425722693999301,71.05369127516778,0.15895680374757895,0.3912919304811899,10.133786588012562,0.026666425204775267,5.856273049176099,0.011126045400238949,384366.7997237362,31.360692580053975,0.0006193258769472586,4.3967245919759534,0.01217401286680861,0.017648375072797075,64440803f87b4843_18507.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},93e22e66749fd40f9d4736f9f234fb8db605c137,2D,"(1.0, 1.0)","(224, 224)",109.26486766581633,0.0,177.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",58.0,146.0,558634186.0,2.1157220504817236,27.0,5.9245829731798265,177.0,25.206352775585117,112.00263839107924,121.0,0.0,177.0,13.102736912540363,117.91808209104431,-1.7982031258372986,558634186.0,0.2932627452748329,1360.0830774674073,27.441401921615416,314.1460861467125,-33.00903857845938,7.5605197159388835,0.2883555891557173,0.9263177914384026,0.17969480214918143,0.6996436657965736,0.2550707796788129,0.9228932735464332,0.9203846456124087,0.9958998888716744,0.9810970468578724,-0.6398921858921742,0.9642464625114704,0.13089987900006494,5.061943791541733,0.22819619054130816,2.8394175656249825,0.9730212210156034,0.33901199489972245,10.123887583083466,2.609614442403818,1.9622188262736497,4.0846396487268235,14808.415870171246,0.3685886068839916,3.3780360812068473,11782.124054161688,2.029627722449736,27.375298685782557,63.4521107128634,1750.9189068100359,7.096477822693527,0.10527748908205259,0.027635727146266928,0.7307492296242213,0.0024634505770947885,1435.858581337172,0.2292825633596834,2.0293174154101585,26.337269283609317,129.11600647280528,3542.51985673194,14.2985316516808,0.08136360249511133,5.987189923835735,933.9213844962132,0.1452657894964147,0.156156660692951,84.79251231154757,0.374236907134134,8.894415125385454,0.029613036704299156,84.36141906873614,0.18705414427657682,2.2787793570336428,26.574279379157428,489799.4767184036,15661426.878048781,19663.35986012439,0.06839922369539095,78.20620842572062,0.17340622710802797,0.40668860865237594,11.651993360029365,0.02280962441749045,5.618144570529997,0.011225607327757865,481863.86688364367,32.973907967085694,0.0005845682343346228,4.6249728747163426,0.012939262406045097,0.01687820056450732,64440803f87b4843_18509.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},068f66f6b09fdb46d6f627e233cdf5832e5c54cf,2D,"(1.0, 1.0)","(224, 224)",110.90479512117346,0.0,184.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",66.0,154.0,591712308.0,2.3111556058117584,40.0,5.238566574262094,184.0,28.320051986313985,114.88978494623656,124.0,0.0,184.0,16.740617288565144,121.35899010904275,-1.540464488193121,591712308.0,0.23749208431130817,1528.3417952942534,29.00966698305359,359.5083975017243,-34.208239479329634,8.703075945046965,0.2978501317510762,0.9336641406726003,0.16782236699263117,0.6570463848809633,0.2687671914933307,0.930612761820485,0.9280642453478483,0.9958559680086683,0.9826018680736818,-0.6914682008196951,0.9782621608492794,0.11437469604418221,5.187318631681973,0.18590170774264153,2.9907523518714743,0.9722553671479127,0.30655221879771244,10.374637263363947,2.7698496803204984,2.2502315191995104,4.173302352515488,16675.32387495022,0.415056846748064,3.2362120979716327,9541.481979291118,2.3124607604427814,28.93570788530466,65.2863401035444,1902.119598765432,7.1225767254395285,0.10359733975355376,0.026726488304383365,0.7520888892131109,0.002321937212098404,1201.757763697679,0.21355722466591082,2.1848121429233034,27.936105317501365,162.1365696049109,4860.989407935202,16.321129250957803,0.07986875777167043,6.157394560516105,839.0622942862401,0.1452610170797261,0.14035120469932297,106.92656715018131,0.38012453055058426,9.996370006884202,0.026355093279583807,78.10112359550561,0.17550814291124858,2.552829188233809,28.02696629213483,476574.5528089888,15424175.593258427,19625.773321603738,0.06735064587632807,81.53932584269663,0.18323444009594747,0.4148341034505016,12.191884681523076,0.025502594594104918,5.603186984117029,0.01107626443647949,468423.50634515844,28.047210408557568,0.0007263941108003499,4.316574600747292,0.013855446032367857,0.01898530054669001,64440803f87b4843_18510.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},fbf9e43300a509b39598000cb4464f7e2d5ca1f0,2D,"(1.0, 1.0)","(224, 224)",110.62354512117346,0.0,194.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",55.0,156.0,582816201.0,2.442689127701847,42.0,4.4096335488879825,194.0,30.190486735157418,113.32086320191159,121.0,0.0,194.0,18.655858381174067,120.44324842100161,-1.2720088833150967,582816201.0,0.21380896551192274,1664.9580533767462,28.507195980998652,367.18282805066093,-32.93348416115456,9.581316155756967,0.3227954308756718,0.9346872342176393,0.16452691426784033,0.6358862769167601,0.2948109669687423,0.9343609262875812,0.9318079017327138,0.9956309066588458,0.9832013729142681,-0.7180135812952592,0.9842542300923613,0.10592381610971205,5.117859264517774,0.17082067658725247,3.1059213539896104,0.9720637462470726,0.254458822142306,10.235718529035548,2.8813713388560998,2.4760278966581595,4.234714964696678,17535.3813221824,0.4364640910539227,3.080116818436157,8589.988998407009,2.534908587970596,28.452932098765434,66.13500597371565,1899.1286091198726,7.3718850099175315,0.10717050021712854,0.025614760692910882,0.7200979755159749,0.0023232150374608335,996.5126816422696,0.1877605782098583,2.5289907222414203,27.18576963368771,188.56820342669323,5757.718940893745,18.14628334361764,0.08697552125860156,6.378122129705499,752.230739497003,0.13819003893508772,0.13241114097968937,126.53874811695115,0.370095426468227,9.661297802543787,0.027866331242375954,70.01522842639594,0.17770362544770543,2.7765273519029092,29.769035532994923,606804.3908629442,18212538.88071066,26494.597980071685,0.0640704926217526,72.09137055837563,0.18297302172176558,0.4249352830582077,13.435634356219847,0.023410566666532247,5.595629569513799,0.009806849860613302,596406.6031332938,25.883196660333642,0.000860210805054582,3.9931759088521224,0.014957188855851272,0.019607412067710467,64440803f87b4843_18511.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b7836f1c0d165b7a610d46345cde5a92d0108673,2D,"(1.0, 1.0)","(224, 224)",108.94319993622449,0.0,185.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",48.0,152.0,553918806.0,2.493492423614353,50.0,3.834297473577301,185.0,32.23564861007426,109.9176125049781,121.0,0.0,185.0,21.587483257052384,117.41935957747441,-1.1576006379267514,553918806.0,0.20786533205508667,1705.4244647897124,27.138494417074007,344.4704508490785,-31.518560519092183,10.087404566752127,0.297312309846965,0.9426529231595129,0.1632243617727611,0.6431262605726977,0.26983713126408354,0.9331664523615467,0.9306218999607244,0.9958908788997586,0.9831442258817195,-0.7187726006827115,0.985538308234499,0.10918184399490431,4.96899396934481,0.1637857139565288,3.1757464566480835,0.9721443456021083,0.2959629664669472,9.93798793868962,2.950615388684082,2.5961792191497723,4.324335006126951,17299.16860812425,0.4305846427748968,3.146130591704743,8351.197580645161,2.647025248900854,27.092094782954998,65.8386598964556,1781.094982078853,7.788363259622514,0.11249358124704814,0.02581802975543286,0.6937221571951327,0.00239985782752241,1045.3057001422876,0.19296899880397128,2.457368714043362,27.106707562446452,183.29117160526226,5092.336665913457,19.313315380195977,0.08616853346954867,6.280924402871083,804.3509653497945,0.1448467212958057,0.13526732377538828,124.21402957910168,0.38033011826734764,9.673778732139418,0.028369030428498587,70.95135135135135,0.19176040905770636,2.270861943024105,28.835135135135136,524804.681081081,15744134.427027026,25074.67909182907,0.06305933995219709,72.21081081081081,0.19516435354273193,0.4399623166155329,12.62408514648531,0.02418390042828763,5.422186906079951,0.0092094782954998,513014.2429802776,26.674902825390863,0.0008521811969390374,4.043654584652155,0.015415914346270465,0.019768113311874953,64440803f87b4843_18512.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},70152be1a82e413e0410280ca5fe1c22d9986812,2D,"(1.0, 1.0)","(224, 224)",108.9125677614796,0.0,196.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",49.0,151.0,551358417.0,2.4896224639800963,53.0,3.761796813064533,196.0,32.61571144287913,109.5961519315014,121.0,0.0,196.0,22.189170463625707,117.14767043170202,-1.1398083767486027,551358417.0,0.21196779842726254,1712.2601693819345,26.96343237147951,337.4960759885097,-31.038987288445256,9.999183225833054,0.29820219805691883,0.9419932200459316,0.16303229392465757,0.6444213085274648,0.2707699516000863,0.9332209221831679,0.9306885048077098,0.9958971121905341,0.9831679326059382,-0.7193532842400594,0.9854928948576085,0.10919712389943642,4.953596533679801,0.16792324786756568,3.169770350381347,0.9720583126947778,0.30994427357443133,9.907193067359604,2.9424363167964924,2.574346355972493,4.303642166716822,17432.854440461968,0.4339121475622752,3.1766201607193585,8516.0182696137,2.6236516094417537,26.91930505774592,65.87624452409399,1753.9854141776184,7.827454487880875,0.1125245669338358,0.026018976596042416,0.710024834538656,0.0023927964540616676,1039.827319625465,0.19205396470605612,2.5077776369032727,28.04954690597492,180.54961745955723,4823.716034242435,19.52775220183211,0.08383670060216393,6.287781580852037,812.1399171490127,0.14604638963782512,0.1352113201911589,121.11386632176627,0.3829651558736161,10.095455945309832,0.027381093877029496,67.5079365079365,0.17859242462417066,2.5180496066739453,29.267195767195766,531772.6243386243,16095974.0,25227.570991733555,0.06421306794322666,72.28042328042328,0.1912180510064108,0.4393359972432469,13.229831617159473,0.024603054212361957,5.567895462923623,0.009408602150537635,520475.9712773998,26.676744627928514,0.0008512438506432702,3.9854636858849566,0.015191312594526439,0.01979336756461278,64440803f87b4843_18513.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},43577d7f9c0baeca8098f39a40c5729d3e2e1193,2D,"(1.0, 1.0)","(224, 224)",110.70565609056122,0.0,196.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",57.0,154.0,588849471.0,2.5084139224813313,51.0,4.012455324865543,196.0,32.57737014236126,113.54706790123457,125.0,0.0,196.0,21.433257326876543,121.06505312357328,-1.1948364712150241,588849471.0,0.20848647645897678,1763.8104588460462,28.639985917474725,377.245548732321,-33.348367102244666,10.201455750241323,0.32245058455470665,0.9386151854411688,0.16915499598704936,0.6557618698661191,0.2929856239103193,0.9314800132895734,0.9289599140663567,0.9956284021174022,0.9826361829347656,-0.7145846942136992,0.9855058336056419,0.11219339680052992,5.115677063286196,0.16424694642693624,3.2029502070735605,0.9714837615588487,0.3004516067532339,10.23135412657239,2.973608324001529,2.6309765836990078,4.369530902082341,16637.316457586618,0.41411082381488,3.112762348256282,8376.15267821585,2.685477030669792,28.579176622859418,65.41646754281163,1849.4003634010355,7.479138969303206,0.10796673322189623,0.025816179607628928,0.7545212685538193,0.002263879548624831,1035.5316151476247,0.18666907956096562,2.657274642899668,29.75560033355035,155.89551441085098,4324.929611158846,17.270196482511537,0.0800487008932431,6.3929748108986075,748.8956905090037,0.13186723549239776,0.13834129828753483,99.50841659954112,0.35836205978236446,10.087301558894294,0.02436945899680771,65.31720430107526,0.17558388252977222,2.676920742282345,32.30913978494624,517655.1666666667,16167510.01344086,23559.5958954173,0.05946440762685002,74.11290322580645,0.19922823447797433,0.4483970007671311,14.952106021675412,0.022631460643786246,5.527442975010162,0.009259259259259259,505991.16666666674,26.93544140489824,0.0008352062380027195,4.125394401457104,0.016170530824704984,0.01956243478504325,64440803f87b4843_18514.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},91e614f5e1b460df4d701d7e8d223ebc8a0e3ebe,2D,"(1.0, 1.0)","(224, 224)",110.98714524872449,0.0,186.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",61.0,153.0,599682415.0,2.3763931227782793,46.0,4.611762625639506,186.0,30.752034057167585,115.2185633213859,127.0,0.0,186.0,19.613914586086484,122.17358259521467,-1.4170290468198687,599682415.0,0.22792305700794638,1651.0669503055287,29.147985277629427,369.4312399416025,-35.34088269602641,9.414646304972107,0.3075379054284308,0.9365992885455438,0.16448203089605076,0.6429715442790133,0.27961056545629887,0.9332443931455351,0.9306993200475279,0.9957799831831533,0.9830805783761342,-0.7065080500892843,0.9816389250286155,0.10870835739863073,5.183735837651169,0.18073478954440156,3.0455430056011084,0.9720242627363428,0.32418416202179284,10.367471675302337,2.8243480676633634,2.430546052600134,4.203702920233791,17167.309239346872,0.4273025995456709,3.0815170616868417,9157.036738351255,2.491973160958172,29.069519115890085,65.81819992035045,1915.13532954998,7.246612247099158,0.10486971039162378,0.02563040661292505,0.7393177067819896,0.0022578497118679987,1095.6589723888242,0.20264435833595892,2.435401895027959,28.802219218315187,163.17028255894593,4763.87648121617,17.106295002539557,0.08111390080291586,6.313820829329829,740.1204143204509,0.13337891738969299,0.13491885702907208,103.52348043892988,0.36187049955405287,9.757775573540044,0.025255383026024404,69.49726775956285,0.1898832452447072,2.711726238466362,30.92349726775956,714462.4972677595,23709324.215846993,27751.526456071955,0.06483162026194812,73.14207650273224,0.1998417390785034,0.4526110955911346,14.2767136304829,0.02720770557545781,5.463220421855329,0.009109916367980884,702412.9363970258,26.646450909824118,0.0007775213706432603,4.258236005732281,0.014652355507652665,0.01976651312134575,64440803f87b4843_18515.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},50a8e14f7bfd6efa4b5d5ae139edc2344ec199ce,2D,"(1.0, 1.0)","(224, 224)",110.3764349489796,0.0,175.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",64.0,151.0,587659406.0,2.2793595324824683,41.0,5.17285362100508,175.0,28.599902959832175,114.48840103544404,125.0,0.0,175.0,17.50746783056882,120.94265499192342,-1.5831976104568068,587659406.0,0.2509568970306042,1519.5318248427548,28.620074790892755,345.9202312687673,-34.43053201540083,8.557828796027826,0.2932959368078282,0.9335666888813419,0.16261310092980252,0.6420022304298634,0.2660340887532814,0.9332677362927326,0.9307153312886198,0.9959296649740415,0.983186122153775,-0.6966189836882138,0.977806698417774,0.10901567650827712,5.153042717389022,0.20213272959028333,2.9365080726756405,0.9724437383519183,0.34994742214546976,10.306085434778044,2.7201472969166662,2.2127811832089135,4.0842745614491935,17366.797739944246,0.4322679644550041,3.144266828899873,10082.444295101554,2.2776406069120245,28.537908203902827,65.85887096774194,1884.1286589008364,7.176875055347458,0.10426700666867372,0.025584148281041618,0.7064957415240478,0.0023043640022544724,1100.8234254108627,0.20343233852257064,2.3965595473515373,28.030089499312286,173.01630822146444,4998.857854464266,17.158581790780392,0.08300106189854094,6.217733913150454,792.8813019157762,0.1428911679263394,0.1350930904022302,113.7491326677564,0.37608980758539623,9.767150575158272,0.027912876355612317,69.73521850899743,0.1792679139048777,2.730050686950258,27.67866323907455,524425.8457583548,16580054.120822622,22216.303246685355,0.07195046677625634,66.6349614395887,0.17129810138711746,0.3970673160180605,10.931433636804396,0.02498634008919147,5.644732797938216,0.009682397451214655,513759.04487810674,26.151890339457204,0.0007571321988006132,4.192069344949277,0.013209683486190485,0.019417006876869404,64440803f87b4843_18516.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},369e9737ad505eb2047a5b4c1165b93f8780799b,2D,"(1.0, 1.0)","(224, 224)",109.1079400510204,0.0,173.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",63.5,149.0,559308787.0,2.198200526188506,34.0,5.469579416614893,173.0,26.319589562099605,111.8390332536838,118.0,0.0,173.0,15.187438929582614,117.98925895180804,-1.6209301307097692,559308787.0,0.27133976691327577,1413.4958688782253,27.513137995544305,316.79455430021875,-31.45891120321462,7.860740490020888,0.24944633272376707,0.9383231528122629,0.1445696055547189,0.598372145932675,0.22787996638802221,0.9400869361442972,0.9376077475069278,0.9955279467347536,0.9831984765714343,-0.7105920927268945,0.9766129064094812,0.09688307478008247,5.060655222292379,0.22750878518058937,2.7996982892012237,0.9730639043673339,0.35372377797852056,10.121310444584758,2.6041246905340367,2.027546705686164,3.860668512103788,18974.697530864196,0.47228936506531755,2.998262283051348,10901.346475507766,2.0916427341114865,27.428041616885704,67.33562325766627,1863.8070240939865,7.252020605085922,0.10517718664858748,0.025282821149740335,0.6549795639478246,0.002350414597847811,959.7583754475392,0.1957823709464221,2.4015031177708246,25.896836995459935,252.93882619500397,7083.8838490139415,21.479365486137908,0.09202585262867179,6.245435612590253,768.9830573037167,0.15329551962825594,0.12236783154121865,180.56476110858816,0.3944279670881425,9.081312496480091,0.03363919046973503,75.75510204081633,0.19325281132861308,2.0821272386505623,25.525510204081634,675288.5867346938,20157146.895408165,28067.296326588454,0.06917479406728677,73.54081632653062,0.18760412328196585,0.4345032191327886,11.035090896112592,0.025075231754107828,5.469760558653881,0.009757068896853844,664784.4284673051,29.914108185339916,0.0008423472660090944,2.6872053687850515,0.014405250184736677,0.01725086827114365,64440803f87b4843_18519.jpg
