diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,image_name
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},a356f3fffae1fbb4f64c0e8d91e3db9cd4893830,2D,"(1.0, 1.0)","(224, 224)",71.76915258290816,0.0,255.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",23.0,139.10000000000036,59756059.0,2.498529200423911,41.0,4.986009803648448,227.0,34.87383059999999,60.7555,44.0,15.0,212.0,21.093832782692274,77.30204331063959,1.676509197024974,59756059.0,0.23202224000000002,2284.3751197499996,12.261253698602186,1035.3564081425097,87.7982786311183,14.625388379640992,0.16830884603611876,0.977191572847318,0.16540812162024285,0.649018277612034,0.13986067590838736,0.917753885657926,0.9175860116314661,0.9983355503115163,0.9849845164698241,-0.7016113813788282,0.984288888381234,0.16311089287941138,2.940565503520049,0.17720758401416847,3.228964351844037,0.9872242374314634,0.31996964595449445,5.881131007040097,3.053635988969913,3.6984243064192768,4.618951125833789,3036.4526,0.30364526,3.0929500400000003,2320.2224,3.79360976,12.515,60.6798,684.7056,17.740457597631647,0.3020441250314941,0.02522913816452507,0.385003439499874,0.008020986868367053,321.346256089838,0.18255117512142588,5.437632950898808,16.266432292319298,92.2520968438557,846.7221120064867,22.83675682918141,0.3316860361835995,6.267957217650148,212.68508648372006,0.11663092523847392,0.176425,55.768661206076104,0.2755593617981292,4.818544052285713,0.09285549605344033,17.717391304347824,0.1925803402646503,6.483459357277883,16.695652173913043,202798.0652173913,1272075.043478261,54794.54493172973,0.4010783675386419,8.804347826086957,0.09569943289224953,0.276089418597936,6.69743029647289,0.08577882936661604,5.712375102979921,0.0092,190983.32041587902,14.554311256218897,0.0032046718132983853,8.355298378815439,0.013141415468802962,0.23773806405397177,bleeding1.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},ffd53cae314fba884e9112c04a14fcc819568eb7,2D,"(1.0, 1.0)","(224, 224)",84.58962452168367,0.0,255.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",60.0,86.0,55465126.0,1.3192738227231635,14.0,5.875070089567267,113.0,8.826078879999999,73.4684,74.0,20.0,93.0,5.710807800292969,74.47491255449717,-0.6710292936971813,55465126.0,0.44889334000000003,148.90680144,12.43608993980206,6.487404748173615,-0.39337890947793064,1.4058860798919515,0.0756425364758698,0.8978314036475338,0.0756425364758698,0.38495691415117794,0.06975931087278825,0.962178731762065,0.962178731762065,0.997090671674005,0.987392910587355,-0.6843114922697455,0.9128023592621772,0.0756425364758698,3.4790122181410066,0.39229120358216457,1.7274121600780976,0.9032618544116642,0.4464465360677482,6.958024436282012,1.651769623602229,0.3703821540919554,2.7381024344816285,5606.2812,0.56062812,1.9958889600000003,4488.9334,0.37373344000000003,12.473,70.6338,883.186,6.435092555555555,0.09410855555555556,0.01882479656399597,0.23242566493449227,0.0020361993382612817,334.8250224125884,0.3745900041825837,0.620749605747746,12.266025100730893,337.88073034526735,4318.367659478601,29.132204791494036,0.11632560795145765,6.0290900812002715,63.74414899866969,0.0687399444675825,0.08940000000000001,198.05908429486522,0.21483211520491746,2.6363773348000326,0.03173592045296933,13.4,0.29777777777777775,1.04,12.6,843412.5333333333,9971970.48888889,77349.20390123456,0.15394444444444444,6.644444444444445,0.14765432098765433,0.3246431843339304,3.674845042859057,0.05165230758756776,4.349054830435875,0.0045,794029.8172839505,15.055231221506963,0.003249041025234898,0.8224518846878982,0.0028309685190933314,0.0343585117384321,bleeding4.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},d73321f409716fbad1168f1218038bdb1c5d6515,2D,"(1.0, 1.0)","(224, 224)",87.42893016581633,0.0,255.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",28.0,169.0,84940167.0,2.4077386969058914,45.0,5.332492876827895,243.0,40.0478955,72.2729,55.0,16.0,227.0,21.66289527394563,92.16298986035555,1.8040257540214997,84940167.0,0.261021,3270.6446255900005,17.027767829813286,2174.494826287635,163.38498947210218,19.985945082897807,0.09279792878277728,0.9907504410090177,0.09249183756759516,0.4432004764062896,0.08394264400156108,0.9538050964187329,0.9537846903377206,0.9990813834685722,0.9915939700030609,-0.8006126043456003,0.9891957672649349,0.09222400775431079,3.4719550300989694,0.23346204928034736,2.8824299456057636,0.9931118442621796,0.37671972247729824,6.94391006019794,2.7888100583814017,5.019685752920146,3.851640806610167,5031.99,0.503199,2.14326844,2610.21,5.0729999999999995,17.1834,68.6212,1076.0322,12.224723397848955,0.17359254580813804,0.018596080057949105,0.37270787037037034,0.0033923049565135342,146.05281107733003,0.13804507158331017,6.321365707000648,25.813762463654918,253.25587026678113,2819.2647821447467,49.919503754256084,0.14944233716309194,6.895829020679189,86.37349502482846,0.07850026879490354,0.105825,152.46575424614622,0.19205449417341328,6.643187664716673,0.02744243066447407,4.483870967741935,0.14464099895941726,9.08012486992716,26.129032258064516,683016.9677419355,5002214.322580645,143123.91766525753,0.3475208572078772,2.096774193548387,0.06763787721123829,0.21535124351331844,1.1265248622439563,0.13330596282047247,4.671780584510625,0.0031,578958.6951092612,4.776453075529961,0.0068194672877655614,3.5274417969650225,0.009649973333333334,0.40662149532710273,bleeding5.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},ba12f9185123d921668624b93abd11bcfed2eaad,2D,"(1.0, 1.0)","(224, 224)",104.39913504464286,0.0,223.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",98.0,135.0,140418991.0,1.475595146054718,22.0,2.668298189490418,203.0,12.346689620000001,117.5941,118.0,68.0,135.0,9.572687831469047,118.49851940003302,0.1290530131920174,140418991.0,0.39878307999999996,213.52674518999999,11.068419804101621,7.610708274884535,-0.41891334108039663,1.748913393593005,0.0920013263952658,0.8999749936215785,0.09011835526987041,0.439300637381962,0.08366778586973311,0.9552546508859641,0.9551291194776044,0.9981642368029446,0.9887613579680079,-0.6709668833708495,0.92698225657712,0.08847075553514946,3.2640758596061623,0.3412639382841337,1.9495184945256254,0.9098756702514812,0.461473063973064,6.528151719212325,1.852417730364357,0.4602286799970677,3.020421730293387,5203.3696,0.52033696,2.35964476,3987.8308,0.46589871000000005,11.1085,69.2426,768.2203,7.5085227352607715,0.11004779081632653,0.020925922445830185,0.23725821132527086,0.0024393887115247335,333.364174317004,0.3245784384839907,0.7226931511152037,11.23369111293782,306.3988386504412,3257.166352159354,32.903664055460695,0.12012343817220922,5.797421298425915,104.55013208551068,0.09899018788382577,0.10272500000000001,202.07637194268906,0.28438119579340726,3.2796895412158844,0.03603128749869279,23.303797468354432,0.2949847780804358,1.3555519948726167,12.354430379746836,455038.10126582277,5183963.683544304,44558.409586741865,0.13338069404977182,8.848101265822784,0.11200128184585803,0.3004890491204998,3.733627676989295,0.03938187070628555,5.115825413595262,0.0079,439015.0280403782,10.366910516488867,0.0031449944413926784,2.0786011606887596,0.001960361262545238,0.07937989701416528,04a78ef00c5245e0_11213.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},88ae5fd61b0921bb88670a51919b1d3d118d1152,2D,"(1.0, 1.0)","(224, 224)",105.48086734693878,0.0,223.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",91.0,141.0,135334972.0,1.6655255843764771,27.0,2.481420436281335,193.0,15.31376384,114.8336,111.0,53.0,140.0,11.215672860274713,116.33356007618782,0.33222843201198,135334972.0,0.36007256,346.74151104,10.35397484950515,14.314876528559424,0.9248613160150274,2.302569240224098,0.08206713600652996,0.9310997386876009,0.07977859402101826,0.4040937211863595,0.07551948751900396,0.9604921266537427,0.960339557188042,0.9977912471700351,0.9886439248181673,-0.7289658980118041,0.9539444018089964,0.07777611978369553,3.130311192735435,0.3152573285675526,2.1055938016574003,0.9391823341578237,0.4737118661361086,6.26062238547087,2.016259591017712,0.596159094057657,3.1006570602660797,5644.7962,0.56447962,2.23277456,3600.7256,0.6039000000000001,10.4008,70.4802,721.2676,8.78209363888889,0.12486808333333334,0.020433825081884606,0.23067821545099518,0.0025798961293470577,262.0481023765527,0.28434280092915554,0.9336259801014557,11.60124629776213,359.07623087777415,3584.185087138024,44.32959236675016,0.12759915830825147,6.022799648877626,99.0962997173736,0.10381430800072972,0.09235,228.7192208614831,0.29504706393872654,3.738720766803996,0.040096510228158674,18.04,0.24053333333333332,1.5029333333333332,13.613333333333333,456102.18666666665,4472918.24,52854.23592962963,0.13985185185185187,8.573333333333334,0.11431111111111111,0.2973407444464255,4.427884850900568,0.028770106419605153,5.042235777699988,0.0075,438324.40888888895,11.343501132653122,0.004081079014437376,1.198466995432804,0.0031383005499999992,0.05630420884959538,04a78ef00c5245e0_11214.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},adafc3ab74e65cb2852a858c6813ee64f9e31c9f,2D,"(1.0, 1.0)","(224, 224)",105.82810507015306,0.0,227.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",88.0,142.0,126962078.0,1.733719600438391,31.0,2.4028570168116534,203.0,17.112724,110.855,104.0,36.0,167.0,13.248503144349975,112.67745027289178,0.5576152587719797,126962078.0,0.32414128,407.376775,16.037244668911335,16.73848497088335,1.7896407987156873,2.751559775674063,0.14229313335373944,0.9015714950081084,0.13405264768901132,0.5778151351194416,0.12390023382462313,0.9341576327245519,0.9337833204294881,0.9978281399869806,0.9851919408347324,-0.6305708232044874,0.9409936618166022,0.12853022367332134,3.922362258953168,0.25444154738837615,2.3641167474007547,0.9301653398491363,0.3263503724109785,7.844724517906336,2.2104840215102075,0.7234632272569506,3.668624039372502,3879.2478,0.38792478,3.05451804,3241.4128,0.73136304,16.126,64.699,1024.7406,4.855622684240363,0.07472453146258504,0.02631327812421265,0.46124836487465365,0.0020062327721569596,415.1884136397257,0.28925252027678355,1.001215605127208,17.447059053870117,138.8001810582873,2139.031717828445,10.78446273313958,0.07354562488712986,5.737742956143627,178.53791916183815,0.12133786368840646,0.143575,86.30041962039456,0.32113351848745597,6.122198774293095,0.02380467819291424,31.773722627737225,0.23192498268421333,1.8480473120571155,20.773722627737225,204198.23357664235,3078873.313868613,15719.192317311354,0.07822803391429564,21.40875912408759,0.15626831477436198,0.3695905816529419,7.319968916548557,0.03142517389114008,5.190517441752508,0.0137,198870.29921679365,9.871607558980113,0.0025845951786479084,3.793564628552928,0.0033532777716428564,0.07868691051897049,04a78ef00c5245e0_11215.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},c19434405eb31eb5f07c517a1e17c7b4c5536bd9,2D,"(1.0, 1.0)","(224, 224)",104.20926339285714,0.0,215.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",84.0,141.0,125761127.0,1.8121852349641967,38.0,2.2344025707192876,185.0,19.283237679999996,109.8679,106.0,36.0,149.0,15.367475377632866,112.14326863436789,0.4326015206233501,125761127.0,0.31302376,505.15724958999994,16.13462223242526,23.210342406161264,2.509776091315771,3.2906668267584216,0.10767166615651463,0.9366046307131763,0.10283797571676359,0.48464690161460156,0.09685446448346169,0.9493674965139611,0.9490643811855932,0.9978583712030765,0.9872117499348139,-0.7004578463669899,0.9591474665414526,0.09878917542427645,3.9164873482297717,0.261235256867895,2.349460984097995,0.9421176873569272,0.3742523722069176,7.832974696459545,2.227772110478074,0.8495846232287338,3.469300358546349,4845.5476,0.48455476,2.616679,3130.2376,0.8550937500000001,16.2019,68.0486,1093.1605,5.2165636230158725,0.07676578741496598,0.023182330357142858,0.39007928917863444,0.00185594459374825,321.1856030575407,0.2821622284319776,0.9627759684704849,16.95009752369296,224.97375480709854,3330.8934036492524,18.514868955687994,0.07810985259110899,5.953622383835745,127.34215965084775,0.10945638162862162,0.113875,141.32156604111947,0.3061497514407107,5.212563833054819,0.026094878234095526,24.274509803921568,0.2379853902345252,1.7239523260284506,18.03921568627451,278324.2549019608,3976356.5392156863,23253.6988946134,0.0966964563603219,14.901960784313726,0.14609765474817377,0.37100182061058645,6.928948924782674,0.033075554746480815,5.174357451822715,0.0102,268712.56708958093,9.354185095466853,0.0036371314017377135,2.0683595753177966,0.00395480859375,0.07008144144144145,04a78ef00c5245e0_11217.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},706a782a707590701e67122d7c2b150543f75003,2D,"(1.0, 1.0)","(224, 224)",105.47307477678571,0.0,213.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",88.0,139.0,128228024.0,1.7246838331588061,30.0,2.298808567382147,185.0,16.00053796,111.6394,110.0,39.0,146.0,12.48396345192672,113.23781347235561,0.2854220755902191,128228024.0,0.32753638,359.4467676400001,16.392923936333027,14.725364013446312,1.0018310033880222,2.572003830452617,0.12575757575757576,0.9066883928525439,0.12224415875931027,0.5410044984742107,0.1104448365796356,0.9394443594191069,0.9392292623201715,0.9974936637126972,0.9847676399233638,-0.6426422729962565,0.9427794600599863,0.11935059772812297,3.9725762677277827,0.2621359289680737,2.3309736814095485,0.9156436419741952,0.36340296908478725,7.945152535455566,2.1945698974321846,0.6744403515525481,3.5570942474928233,4259.914,0.4259914,2.955239,3275.3638,0.6829871099999999,16.4701,65.856,1062.3695,4.795568104308391,0.07239408163265305,0.024202183437263793,0.42293798606387,0.001774495357903964,382.60650649890107,0.2867303451503225,0.9155542007021137,18.013271821183793,183.681016714302,2788.2523319742695,13.973286978618813,0.070891978056944,5.684865935506334,179.02115706895881,0.1305178651556339,0.133625,122.64951196651964,0.3365958036528167,6.358533212429619,0.024415521368527798,25.685185185185187,0.23782578875171467,1.3535665294924555,18.40740740740741,267160.9074074074,4152263.342592593,19612.65204701016,0.08489061056521374,13.62962962962963,0.1262002743484225,0.30344851805253586,5.722909108624389,0.024439150955885076,5.2979062729860615,0.0108,258587.51920438957,10.569836625910975,0.0028491489997941356,2.5150191544313127,0.003757404800871428,0.05675737903574829,04a78ef00c5245e0_11218.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},6d118ca65cd4582e4da3482f90bd04054af86994,2D,"(1.0, 1.0)","(224, 224)",104.65754544005102,0.0,196.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",89.0,140.0,128217628.0,1.7720914973235822,26.0,3.0890279602242394,178.0,15.433180719999998,111.5716,110.0,32.0,146.0,11.194890330908205,113.23322303988348,0.07226481947496612,128217628.0,0.34153472,373.54087344,16.234678349148048,21.317650533840776,0.5595475730485684,2.637102322817008,0.12624247525762677,0.9085797039557191,0.12029002142638506,0.5383933343981425,0.11140237797859476,0.9407898003605074,0.9404502346699317,0.9974912029776415,0.9850445114727523,-0.6548749088146886,0.9487340347075315,0.11562245632531828,3.950564865830018,0.28063287282067206,2.376649309561633,0.9182206490915923,0.43538337924701564,7.901129731660035,2.236223552839093,0.6908361995186587,3.579312886116585,4310.21,0.431021,2.86875696,3415.3472,0.69591676,16.2842,66.1476,1058.1402,4.913958659863946,0.07613763718820861,0.02400717288674729,0.4113763740079365,0.001982182939823563,343.46504285110956,0.26323388793870656,1.1266073161442665,17.64351678477823,199.07951858826428,3085.6947269486986,14.569005483603952,0.0852984897352303,5.855062040574788,167.32898652138084,0.12430117924659442,0.13065000000000002,135.08468847697307,0.3191411982948392,5.888285955319852,0.029615484192055817,23.990825688073393,0.22009931823920545,1.7400892180792864,18.18348623853211,279752.93577981653,4335418.568807339,19662.352818240444,0.11445838274147581,14.522935779816514,0.13323794293409646,0.3223895274319415,5.885505494713323,0.027896692386437355,5.334083123014129,0.0109,271336.13584715093,9.658828281933118,0.0030583784346029466,2.386443981950105,0.003756431638055555,0.058030861973901865,04a78ef00c5245e0_11219.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},611072aa3457477e197e82d5cdb837d7f8643b09,2D,"(1.0, 1.0)","(224, 224)",103.66990194515306,0.0,192.0,7ed2937208785fae4b5b1da07a877abb3eb2529e,"(1.0, 1.0)","(224, 224)","(62, 62, 100, 100)",10000,1,"(111.5, 111.5)","(111.5, 111.5)",89.0,140.0,129582260.0,1.7657915958175314,32.0,2.7834151226029067,166.0,16.52441112,112.0244,109.0,38.0,128.0,12.508038390714876,113.83420399862248,-0.11143996342671357,129582260.0,0.32702378,408.75980463999997,16.57401183552699,19.804442381399376,-1.3814928012248822,2.6999003674307374,0.10689113355780022,0.923785532369453,0.10175084175084176,0.48092932843609537,0.09623845969077052,0.9499494736931605,0.9496386083052749,0.9971342975206612,0.9855544411163099,-0.6936712202046411,0.9550998943253428,0.09755361556077044,3.990709111315172,0.27478060594913883,2.300131324254964,0.9348870598646941,0.3938914396490154,7.981418222630343,2.1790656621188846,0.7016978752471343,3.38506264731512,4963.8134,0.49638134,2.64131744,3270.2378,0.7060343899999999,16.6413,68.2254,1145.0903,4.951130777777778,0.07630711111111112,0.023008500944822374,0.3815845881834215,0.0019616204784650487,301.255063900249,0.2675436393418454,1.0967622925400455,15.918241742254938,254.97872117317843,4396.719547690226,17.31767325136793,0.09748232680186057,5.949906159332766,140.64424394418415,0.12164588765568857,0.1127,167.717484336417,0.3284663551485575,5.365192865010257,0.03470518221582943,21.244897959183675,0.21678467305289462,1.7439608496459806,17.5,300283.693877551,5179909.173469388,19314.800782312923,0.11102040816326532,14.346938775510203,0.14639733444398167,0.3716833594872217,6.294088726139037,0.03266110318231987,5.185027596632319,0.0098,289871.36568096624,10.050246238081328,0.003726342406933621,1.3839126888144584,0.004377060200804999,0.049870688496384125,04a78ef00c5245e0_11221.jpg
