diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,image_name
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},ac155e0881c880ef696e8d6738431153efe846af,2D,"(1.0, 1.0)","(224, 224)",106.90718670280613,0.0,238.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",83.0,126.0,473434904.0,1.57716972776649,19.0,8.269503704751399,238.0,19.58522328516772,104.003932696137,113.0,0.0,238.0,8.413196508221564,108.55423943468689,-2.4199697846981207,473434904.0,0.461388379778913,967.2048829807349,23.23740337477861,199.2949464544808,-24.740009998222163,5.0497317260565815,0.22491474400132505,0.9143549126806909,0.1275678840447323,0.5450280127768887,0.20808193373518868,0.9482091810868284,0.9455699668791064,0.997892521626747,0.9890759644067496,-0.6633484243615015,0.9326621798556427,0.07968964785698456,4.693734022434995,0.4063074271777183,2.0633349309057376,0.9764891086068497,0.6131975620064921,9.38746804486999,1.9120891155308641,1.318661617514476,2.9872646007337815,21796.119175627242,0.5425159093893678,2.8139518233472445,18536.73954599761,1.380866391555967,23.196062325766626,69.25089605734767,1615.579276184787,7.554442091101591,0.10876924825128843,0.023849712295755065,0.5403588541052088,0.0024109110348686023,1137.4914573887104,0.2666939515396589,1.947472848701571,22.165213647145034,404.0546964714745,9592.680787900692,31.149940703351096,0.10624204707610584,5.774723301898607,757.8426210642504,0.17373803254324632,0.1061392373556352,307.2198357287555,0.4251776747032456,8.273403411671081,0.04414755574586637,90.07303370786516,0.25301413962883473,1.6868056432268652,25.165730337078653,1098227.7640449437,27135548.27247191,49845.62645542323,0.06733446234298963,62.41011235955056,0.17530930438076,0.4122150520470755,10.885732029286876,0.022156574950345686,5.288258259711792,0.008861011549183593,1085491.753945209,23.5810080900339,0.0006462544818206629,4.9863122956316355,0.004856654266736398,0.032657319073603926,48579eec79784294_28679.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},597527f167713befcdbcc633e0444a04c2dcd351,2D,"(1.0, 1.0)","(224, 224)",107.6895527742347,0.0,234.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",83.0,130.0,486368935.0,1.6734643665923334,19.0,8.068842111528598,234.0,19.856860964682514,105.34998506571087,114.0,0.0,234.0,8.716152873245518,110.02707468382809,-2.352277904155696,486368935.0,0.41785866153480644,1007.3378101351811,24.165273669800627,219.88177079964862,-26.313435529402526,5.433773020340512,0.2317961199036994,0.917836677965695,0.1302722752529921,0.5538773717982121,0.2142420675504117,0.9473008293450939,0.944577470328213,0.9978312763551859,0.9888575359337163,-0.6713382713556144,0.942608247924848,0.08071220587393879,4.781706009585581,0.36383912345569686,2.18001914846704,0.9752799406329691,0.5649501276402427,9.56341201917116,2.012815550133171,1.416392285061053,3.0975949214022696,22049.017124651535,0.5488106612069776,2.9507472279279012,16787.88958582238,1.4805816548762505,24.112654320987655,69.18901831939466,1692.9682895260853,7.441964048869812,0.10746795065509314,0.02455865356452772,0.562809249652844,0.0024484550274145667,1125.0278675543705,0.2601898920908679,1.8835896361401756,21.795429442308325,389.9500145113255,9855.258726385773,29.38315373847654,0.10572566864268831,5.74724621295865,864.7792429289832,0.19551679999630217,0.10766377937076863,295.99033300116713,0.4541654769306208,8.878208704582606,0.0448195612343644,90.54755784061696,0.2327700715697094,1.7557906701647492,23.88688946015424,910565.0796915167,23253756.555269923,40530.192651784055,0.07243781700531303,65.76092544987146,0.16905122223617344,0.39707269330609896,10.201420786174783,0.02339392099675671,5.397597776614481,0.009682397451214655,899898.2788112687,19.356768019563876,0.0006848916235057988,6.218697641194941,0.004198040103923434,0.04011629920004144,48579eec79784294_28680.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},50e5de7f6fba104429d5632426ce6bcbe65a1a2b,2D,"(1.0, 1.0)","(224, 224)",109.41990194515306,0.0,245.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",97.0,131.0,518868310.0,1.4854242696403739,17.0,9.052563481381679,184.0,18.56926449151412,109.09239346873755,117.0,0.0,184.0,7.287519945190145,113.64366356300165,-2.5939645615268945,518868310.0,0.4592006900521814,1013.7319552828567,25.700527231238755,254.73012186182928,-29.966778010770113,5.443601912888433,0.23040912710192396,0.9184102900309307,0.12203598800002204,0.5168628587205133,0.21496625546650794,0.9517674632600573,0.9492591782355977,0.9967812398540026,0.9875050780708752,-0.6665160716317402,0.9240640527316253,0.07311531918500751,4.939347542014739,0.40590721999384666,1.931875536728286,0.9764811708788195,0.5872547293567022,9.878695084029477,1.7966036401352625,1.4185027599975897,2.829133838035424,22668.920748705696,0.5642403611286761,2.656984794582055,18448.84692353644,1.4883500253206874,25.631620868180008,70.01329151732378,1814.5484866587017,7.284446660318183,0.10433075709790754,0.023227629593965186,0.5595034582507226,0.002315140089918571,1106.817988072387,0.2776579474866747,2.0558922862591613,23.49854141409194,402.24525600864,10641.441954813652,30.233033090427178,0.10558550829902301,5.867997885033031,666.4080700301996,0.1640299214722899,0.09911389884508165,290.6451394494462,0.4141579086248149,8.458069455426033,0.042281709834558825,74.89880952380952,0.22291312358276644,1.9621598639455782,23.851190476190474,1924600.7261904762,49185657.458333336,80775.34014855644,0.07619120589704136,59.708333333333336,0.17770337301587302,0.42273616458080837,10.241777710463065,0.026856587655312052,5.471109818291199,0.008363201911589008,1910303.3996598641,25.5744757749712,0.0006537612826386299,3.5331992517139534,0.006595664903644871,0.022175938203529425,48579eec79784294_28681.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},47081d89c1da815dd3ac7b758bd3bab7691fcd3b,2D,"(1.0, 1.0)","(224, 224)",105.93755978954081,0.0,168.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",86.0,127.0,457115237.0,1.6380296519251407,19.0,8.224717208111702,155.0,18.757908067158823,102.17515432098766,109.0,0.0,155.0,8.125147400936834,106.66685766205272,-2.3742121786495294,457115237.0,0.4243736373675462,938.0563629789727,23.075989897759577,196.23348349468313,-24.034785529962,5.161516179667399,0.1748357180485073,0.9342020651096484,0.11119195062967485,0.5044570706036089,0.16204031044974865,0.9530076008707131,0.9507020978147125,0.9967425624896091,0.9869164362987796,-0.7010710770008006,0.945422473752836,0.07396156154710126,4.6721795353470625,0.37502125753538135,2.084943891597514,0.9784415277714547,0.5774997118734715,9.344359070694125,1.9719118556671913,1.3340879744289764,2.978339770960818,22923.766079251294,0.5705835842107551,2.647570988328376,17049.635254878536,1.3967156660980418,23.014262246117084,70.11668657905217,1639.0303912783752,7.606906818191567,0.10932377682753706,0.02262514092691076,0.48355391929876773,0.002421225246997688,1066.762211299776,0.27025503441262333,1.820882938975542,20.372701652985807,445.0917034725503,10655.96324548472,34.38265856819672,0.11423452754672372,5.8335032997912215,689.3941608306046,0.17118589893284322,0.09825517722023099,331.55100447476633,0.4244062329508391,7.251671511390832,0.048143770036938614,72.45637583892618,0.24314220080176568,1.5041214359713526,22.026845637583893,2157429.1409395975,53717547.224832214,93616.33077202135,0.07704928168135264,53.77852348993289,0.18046484392594928,0.4025962954434527,8.935929761889149,0.02774540546611921,5.153737026133378,0.007417363600159299,2139253.034277735,29.653093836841784,0.0007385838392646547,2.283764658425235,0.007418257759104447,0.018178620482117703,48579eec79784294_29036.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},9c3173c45604bd6fd32fcf50e6e1c5fa751838a8,2D,"(1.0, 1.0)","(224, 224)",106.22660235969387,0.0,156.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",87.0,127.0,462338885.0,1.5600684650656786,17.0,8.50413779867692,148.0,18.293716797078513,102.83057048984469,110.0,0.0,148.0,7.50603017220393,107.27458990546968,-2.4506617377084674,462338885.0,0.45992876886304,933.7114121197823,23.364478749719524,202.36636241093498,-24.948157063072166,5.089457855875029,0.17821477856635198,0.9320362560191829,0.10996652831768969,0.49547398259577935,0.1656578257692674,0.9541018541201315,0.9517826403855782,0.9956398229720684,0.9853981992120983,-0.6967346365169598,0.9380037020205638,0.07145876069483272,4.704955507462103,0.411017850043951,1.9894999913932683,0.9787580578227018,0.6152966589840543,9.409911014924205,1.8806402359838474,1.3169181586103453,2.855174026131169,23315.65003982477,0.5803377648303657,2.590601648941392,18478.098217841496,1.3809090652017226,23.298063520509757,70.36837913181999,1669.744598765432,7.555460757389707,0.10856216674410372,0.022202499823402378,0.47174121592145607,0.0023898575468396244,1058.4752193770569,0.2744763883313336,1.8087460592261684,20.08280551233102,485.64588175743177,11834.163765223737,35.91787731231288,0.11616154532211706,5.806017983265798,657.8524063190487,0.167414324109181,0.0959092493030665,365.43667161031146,0.41923148324502985,6.895068588757895,0.04877183195845483,76.65972222222223,0.2661795910493827,1.3220365547839505,20.98263888888889,2407945.5555555555,60375307.46180555,102833.27904224537,0.0779591049382716,41.97222222222222,0.14573688271604937,0.37632137789358205,7.933887350432688,0.02598653332201566,5.4419128989363506,0.007168458781362007,2388485.3055555555,37.18520332290654,0.0007103052913039593,1.6247989834577858,0.010266936537263066,0.015249018878125369,48579eec79784294_29037.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e4ac72f23bec48359ee9287ef4b237d23ebf7d27,2D,"(1.0, 1.0)","(224, 224)",105.99910315688776,0.0,155.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",88.0,126.0,460577442.0,1.454718626372782,15.0,8.748644702560163,151.0,17.910878058486112,102.70091596973317,110.0,0.0,151.0,6.72088422670524,107.07004471052127,-2.519241587749465,460577442.0,0.5088953028716657,916.5163332908282,23.336072258464334,201.54383917219752,-25.284090893285953,4.916226868378559,0.1816936362999968,0.9283921971022115,0.11033027234920484,0.4944425243830163,0.16906793758977168,0.9542540602015128,0.9519060298330382,0.9966439329044792,0.987115705237285,-0.6768631071145716,0.9233908234876369,0.07080105518198274,4.706631131124955,0.45941506059540704,1.8793080782667848,0.9774724852822799,0.6607175083097113,9.41326226224991,1.7657771901121855,1.2744801261696392,2.719296952700023,23621.725457984867,0.58795612947991,2.627029203721863,20445.377688172044,1.3387293780474236,23.27033552369574,70.46465551573078,1668.933169056153,7.538669605295657,0.10831228295612683,0.02251926367065662,0.47739548424965544,0.0024382970367768965,1042.516858493127,0.27145918992272045,1.8364936976219612,20.133003807287302,510.32998286395417,12405.503665700668,36.920165317457155,0.11675474804492955,5.741427098695285,710.5183907560285,0.18102028110058643,0.09545499800876145,389.0863257981961,0.43645507730698124,7.278903812915641,0.05008281586862856,73.0,0.2517241379310345,1.564815695600476,20.955172413793104,2718932.5172413792,68110171.43103448,114877.8589122097,0.08390798733286417,48.61379310344827,0.16763376932223542,0.4097225412082169,8.38553863531184,0.03280960149377387,5.405518115261803,0.007218239745121466,2699739.758906064,30.15877176721661,0.0006840573706841581,2.2670488228533703,0.007101645562136902,0.018159613361751453,48579eec79784294_29038.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},43b216a95ccb72dfb410f132421e157bcfabaebd,2D,"(1.0, 1.0)","(224, 224)",106.12133290816327,0.0,168.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",89.0,124.0,460292769.0,1.3572101144532815,15.0,8.957562643467554,168.0,17.604162341065695,102.71911091198726,110.0,0.0,168.0,6.48409305343197,107.03695075143385,-2.5786565161563537,460292769.0,0.5530711278677285,905.6930796157351,23.142969897741295,197.1844773757982,-25.217547362288055,4.734168956194956,0.1843662526556963,0.9246791882519467,0.11327982977949351,0.5055091535057838,0.17106625086294716,0.9527707134091561,0.9504115853910582,0.9965875546759306,0.9867446239052589,-0.6498402710205742,0.905052146613415,0.07369440379773376,4.690997555805963,0.500993729505216,1.7844562507162822,0.9775606410369493,0.6961156751140363,9.381995111611927,1.66491342632265,1.2296338022126634,2.6357742948357767,23219.26851851852,0.5779387823207517,2.702314436154358,22220.18563321386,1.2935572504278665,23.081093189964157,70.15671047391477,1648.8294504181601,7.5293909030989274,0.10841255448814331,0.023060419182524328,0.47988020779479207,0.0025070392974663436,1088.9418591609035,0.2752752716910172,1.7704450782712635,19.991307812365015,483.7555971742192,11704.65686255939,35.12517853392561,0.11500283228824473,5.688539320571343,737.1482197657701,0.18267969243854812,0.09836718438868977,370.1129030470497,0.43832816075872605,7.271799357569506,0.04948751766720003,83.91082802547771,0.2672319363868717,1.6071645908556127,20.146496815286625,2718471.4777070065,68016424.4267516,114176.13677134336,0.08850172234498896,54.19108280254777,0.17258306625015213,0.41572213617978054,7.908916774436763,0.037274282211405795,5.335468882792242,0.007815611310234966,2702100.5196965393,31.096977871676692,0.0006538634570099732,2.2824906516512447,0.006966452866554262,0.017684070485354902,48579eec79784294_29039.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},c92c92975f92f26bba7dc38038c463535fe76205,2D,"(1.0, 1.0)","(224, 224)",105.6796875,0.0,190.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",89.0,126.0,455109471.0,1.5090015528188885,15.0,8.620826439924935,190.0,17.656085523081156,102.0516975308642,108.0,0.0,190.0,6.616187385110294,106.43257979217941,-2.4608863861555372,455109471.0,0.4898499073213663,913.3450722876444,23.163313464219332,198.464765952102,-24.80017215096748,4.957240546453109,0.19066511562043414,0.925604889084925,0.12362714723454775,0.5450642664921668,0.17486340739300554,0.9471544720260902,0.9448429024969207,0.9972221580195251,0.986954115303678,-0.6527552169052463,0.9235584477988233,0.08546058329093781,4.687388289237851,0.43219835354739566,1.98702756970276,0.97684763816352,0.6382851428860018,9.3747765784757,1.8544755508040471,1.2869764155183856,2.915233777871788,21643.80759657507,0.5387248007908968,2.922304633408304,19680.20987654321,1.3505265842390257,23.105311628833135,68.89829749103943,1625.2558492632418,7.492626370062992,0.10884184446711115,0.023916160314840198,0.5004317860352469,0.0025454749875313903,1251.9432845486963,0.2841647732874524,1.6531133497644306,20.057812459095963,378.9800397757542,9236.116725012242,29.322241317336815,0.10892873983264839,5.620115752628272,837.3213153336117,0.18571316845612745,0.10967990840302669,288.2024865268141,0.44082124879260953,7.60934436816097,0.04703302771430336,84.47976878612717,0.24416118146279528,1.6051739115907648,20.27456647398844,2139466.023121387,53742217.52890173,90330.39395421269,0.0851666150564272,53.45086705202312,0.15448227471682982,0.3775849891357379,7.302041441666727,0.03175850288405737,5.503660103600594,0.0086121067303863,2125983.188947175,28.066359975799465,0.0006260642362860422,3.4177231415903253,0.005902111739228814,0.02156949537465133,48579eec79784294_29040.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8f995a35786cdb200c631062cdf7418ee0f20342,2D,"(1.0, 1.0)","(224, 224)",112.23451450892857,0.0,197.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",69.0,161.0,595167391.0,2.51306159309586,70.0,3.2777102593905973,197.0,36.67889330181967,113.38328853046595,123.0,0.0,197.0,27.5603451249651,121.71278963646836,-0.8708727722367559,595167391.0,0.19227032131897231,1958.2330431083074,28.976476784936544,383.5135034080391,-28.23020447469522,11.564290770110025,0.32824859772709747,0.9447212704311885,0.14990377373768396,0.5729395470388231,0.30504224099847727,0.9432419259712626,0.9406865962966959,0.9956571950797201,0.9849943291268685,-0.7571027281646796,0.988448987477057,0.08746031357615812,5.115407334737821,0.15911156125105097,3.1058357786009267,0.9722808757398255,0.24414677844579458,10.230814669475643,2.911088492720215,2.973134841959281,4.108424635860192,20069.13729589805,0.4995304982053477,2.7957308011019926,7724.6524293110315,3.019812427073168,28.925925925925927,68.15452011150936,1975.7929609717244,7.586560715018036,0.10785652980203432,0.023534854512091873,0.6978721512054882,0.0021304168677627735,790.8989258088604,0.17187597454874348,2.908414699471912,28.609297865264917,252.92635663482412,7810.344045922665,23.33851285575134,0.0876759003287693,6.521850257469643,622.8406466937488,0.13287732952978065,0.1144402130625249,169.7732944822452,0.3656650965003598,10.157102523829131,0.025421870004259696,54.04575163398693,0.17662010337904224,3.3277478747490283,34.51960784313726,647568.6405228758,20051457.02614379,32734.70612689057,0.062171952114179,56.64052287581699,0.18509974796018624,0.4240623473772344,16.077701091870217,0.01906011742346045,5.511181642157332,0.0076164874551971325,630330.4951941561,22.897403913005714,0.0010032140837024168,3.6967277862236476,0.016185418588445622,0.02286871501755795,5e59c7fdb16c4228_26124.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},a115e34d5ac69b082973fd191bb23c414a1c361c,2D,"(1.0, 1.0)","(224, 224)",111.0810546875,0.0,167.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",90.0,140.0,620067115.0,1.4183655852435881,15.0,8.914857057529911,167.0,21.340472468232566,119.21507865392275,131.0,0.0,167.0,7.279647384539124,124.2327223002195,-2.621675402677002,620067115.0,0.5061456778049936,1221.5343116624713,30.476251938649092,382.6760965473691,-43.31956318115159,6.555196918752253,0.2579049779275655,0.9239470634263838,0.12575817236397996,0.5157426218519684,0.24155556679695975,0.9519127050881632,0.9493607200727385,0.995545596621511,0.9858478580298408,-0.6556967787843109,0.913271030066401,0.07161596164665052,5.376042025079183,0.45521842650697614,1.8480356202458719,0.9744413925270834,0.6470908224965639,10.752084050158366,1.7080631407855793,1.703275474169954,2.7390490071819222,22978.70046794106,0.5719509276170116,2.6823039557845116,20334.90875149343,1.7859568634765297,30.36862803663879,70.15959776981282,2174.7832536837914,6.896845652936603,0.09842798715131877,0.023637707240071127,0.6441532413551638,0.002213787720454535,1096.4159084206246,0.2780139128006295,2.1801884304247863,25.961828613914523,462.88591590553006,15579.353677096096,28.45992871007954,0.09783669566465174,5.860088915257243,678.4249572735117,0.1687533643668797,0.09819295101553166,350.39431473934224,0.42043458358941577,9.745334569857015,0.035634832029902294,81.24747474747475,0.20517039077645138,2.482010764207734,23.396464646464647,989705.9343434343,34771334.964646466,32656.97490199615,0.08347448406972216,64.94444444444444,0.16400112233445566,0.38968973871202384,9.421371514011618,0.028386161248240525,5.549828954895445,0.00985663082437276,979412.909550046,29.460566708411314,0.0005979838129436379,2.710027220494761,0.010890682057802838,0.02067669174179498,5e59c7fdb16c4228_26125.jpg
