diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,image_name
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},dd4f0ab3cb4cb44aff2beb8a7144f54703244bba,2D,"(1.0, 1.0)","(224, 224)",80.24282525510205,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",32.0,140.0,333543434.0,2.6831642356281544,60.0,2.4050307309133636,255.0,34.68578222467895,80.66791119076065,78.0,0.0,255.0,25.34380993216421,91.11562324914235,0.022778656048113168,333543434.0,0.16788440697648785,1794.7449041992018,17.044769547528233,251.11953547539173,5.998406599846706,10.670877384082132,0.16998036359625482,0.9686317937504919,0.15072445508538437,0.6294633523201968,0.14680286251374539,0.9270669083078579,0.9263438633901653,0.9986285449194877,0.9875510781984642,-0.724943681288965,0.9895717609441076,0.13973093694386943,3.7973066691941053,0.12474328812720328,3.417648495927414,0.9719480762620017,0.21440243395884784,7.5946133383882115,3.2285316979674863,2.7102144369195957,4.701353912649891,14762.344185583434,0.36744186045359,3.2055130638055953,6744.923934687376,2.723853574117571,17.08719135802469,63.52832536837913,1056.960847272003,11.691068587113321,0.17089252613154024,0.026733689780366988,0.492089150609421,0.003731987899750155,1113.8902553889761,0.1799936219098217,2.331052435480778,18.761904480571584,114.22714455502853,1786.6669713065448,23.607434714935287,0.12146988046681292,6.413395615695334,774.2195944296216,0.1228371804327996,0.15415297690163282,69.53826721185526,0.3269149275155798,6.440126919445999,0.03134436136596436,83.70081967213115,0.1715180730986294,2.710024187046493,20.737704918032787,232914.59836065574,4409083.608606557,25288.595052479985,0.11137280388321612,78.0860655737705,0.16001242945444774,0.38434322635419665,8.053360903184654,0.04254615265215522,5.893669083152455,0.012146555157307845,226136.72037086808,31.00427029565231,0.0010907845459996182,5.065090459595032,0.01026757639741769,0.044950429307786796,worm1_1016.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},088deffe958392505942f1e75dc7783cf43450c1,2D,"(1.0, 1.0)","(224, 224)",82.28224649234694,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",30.0,136.0,327229686.0,2.597848386527723,51.0,2.703796847599855,255.0,31.489862250958385,80.98153126244524,82.0,0.0,255.0,21.700341209334255,90.24912503671419,-0.14953724328813425,327229686.0,0.18516808722822295,1586.8961642820768,16.78887664271795,214.00329585807827,0.8224850400275225,9.209868037158737,0.17692067816364515,0.9622859741837798,0.1580558549176857,0.6472560018666627,0.15147493714816435,0.9233038374046187,0.9226372692598106,0.9985718175103944,0.9869372489853663,-0.7054760124249015,0.9868913840975331,0.14769599330112504,3.81190671120002,0.13681399136738492,3.356987024477485,0.9675288006036926,0.23497296022350747,7.623813422400042,3.1638713213009897,2.346697178830595,4.6885857147680445,13866.073277578655,0.3451332456585686,3.280073907384172,7439.3130724810835,2.3667950616798237,16.842418359219433,62.66701513341298,1022.5983920748706,11.29056367367011,0.1674423800311845,0.02749338147333767,0.49709206506990317,0.003761679037963016,1195.391755565315,0.18416205549155362,2.2396954441688943,18.663721698575216,112.65428166290951,1668.8414916041777,21.95280926337913,0.12231650312526496,6.295237972265873,869.1228776657197,0.13150778447987135,0.16171346077260057,72.27171156105052,0.3359454032365511,6.495763842786898,0.033056734387938325,87.421875,0.170745849609375,2.6806488037109375,19.6640625,211308.15234375,3478956.583984375,22206.10127536233,0.11276776968669916,82.4609375,0.1610565185546875,0.39306976600990834,7.718608432987745,0.04143289913995206,5.935456354434349,0.012743926722421346,205150.8076171875,31.166191339252904,0.0009604872729749166,5.430320336816135,0.009442176407835866,0.041227073670779046,worm1_1021.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},76b05f4b7558a542c45d4dc4ac9a0fefcdbb1429,2D,"(1.0, 1.0)","(224, 224)",75.8209303252551,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",36.0,129.0,314339134.0,2.5439335744788867,45.0,3.184705543677882,255.0,29.172406881644303,79.79241338112305,82.0,0.0,255.0,18.60055088321218,88.45367442292472,-0.08111706105505424,314339134.0,0.202918563140977,1457.2232857327401,16.187478626965817,212.05107478354364,2.8710943308234538,8.520245469829046,0.20780328145075308,0.9523718379679926,0.17776008900526177,0.7025836833634256,0.1755856249503396,0.9148798940061829,0.9138129061112008,0.9983290344603271,0.9853610061112095,-0.6745192879682993,0.9834881281063637,0.16110001729164453,3.756242377088676,0.14678788511422675,3.371475514704314,0.963146911338552,0.2790130147368689,7.512484754177353,3.1388051300595166,2.18201218781995,4.716694402647675,12891.723715651135,0.3208812155428897,3.553098145836535,8152.456192751892,2.1904010619899283,16.227897252090802,61.04116885702907,951.8642970927917,10.938562127103564,0.1649634007298308,0.029524837839670727,0.539065040989588,0.004052167740794113,1360.1213613892958,0.19095125148258102,2.207308090173153,18.28155003530155,98.44321244134977,1420.5224408699078,18.930432033559953,0.12028694421621407,6.141880957416824,1058.4620991711074,0.14597812064573476,0.17723889884508165,64.7526597855895,0.35846440213251785,6.957468495421401,0.03691842526001056,93.96068376068376,0.16061655343706627,3.129560961355833,20.7982905982906,190092.97777777776,3088247.798290598,18843.39261452356,0.12293207632781948,86.02564102564102,0.1470523778216086,0.3797468891751769,8.390753144212944,0.04666205591593369,6.276014548589177,0.014560931899641577,185376.45801446418,27.684507934909245,0.0008497891610468418,7.426000885507714,0.007578718892571445,0.04752815229992229,worm1_1031.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},6af2e6c187381a8b48b661af69b1034864e71a78,2D,"(1.0, 1.0)","(224, 224)",89.42440609056122,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",36.0,153.0,422513430.0,2.72444991429311,48.0,3.001405198721452,255.0,33.723935963124255,92.35797491039426,90.0,0.0,255.0,21.58049229857784,102.5502943601686,-0.09949733889608026,422513430.0,0.1829550076735244,1986.5673438082117,20.967761806147966,382.3271433865042,3.3385311485330784,11.704626783982985,0.265693678487459,0.9555945849719182,0.2231575800230649,0.8123698264591084,0.21485769397802607,0.8940839889343195,0.8923736072394085,0.9978605762122319,0.9816561824454935,-0.6446693626139541,0.984689424018419,0.19732766431189985,4.255351191864997,0.1228163531262739,3.69060787324242,0.963891017648108,0.2730142438989858,8.510702383729996,3.388261188223715,2.9925801156176104,5.112596383062588,10181.447331740343,0.2534211303201001,4.0784387405095,7350.400388291518,3.007112580962959,21.0330296694544,56.88809239346874,1147.4281909597769,9.661534286708415,0.14854961632248664,0.035691015583022,0.8029907520587294,0.004099004698897312,1517.340086063832,0.1743524859035252,2.6936236801534816,23.084728415092695,66.08616264118663,1180.5909668045792,13.309667521707626,0.097370833088072,5.967176782629858,1552.9424386045432,0.17526242759348912,0.21662186379928314,43.55809591713488,0.40072098051899974,9.394673729768337,0.03366373705831075,124.58244365361803,0.14778463066858605,3.5364744057896376,24.753262158956108,78741.72004744959,1453861.0427046262,8366.735104283547,0.09927885725221372,136.51364175563464,0.16193789057607905,0.4017092925290463,9.45138864354288,0.042584566154993626,6.3263321236202605,0.02098267622461171,76470.40048462743,29.685301612635968,0.0007789792911202289,8.137571282075838,0.012573548843105518,0.0372549547572234,worm1_1037.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e1ce6bd99d736263a1f8419c102e18452d1f7bbf,2D,"(1.0, 1.0)","(224, 224)",93.77642697704081,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",42.0,152.0,454982666.0,2.648740006601442,49.0,3.1450508245327873,255.0,32.93362077230557,97.35493827160494,99.0,0.0,255.0,21.520261301785297,106.41775135598327,-0.5159381786304265,454982666.0,0.18273443795725727,1846.7537977958716,22.493579637334587,323.3872958564783,-11.095008193284032,10.637402369458428,0.28177226710242015,0.9483621088951021,0.2398645117214493,0.8472971134351444,0.22307284265074823,0.8858893895650759,0.884010410874033,0.9977250717065329,0.9802634172366462,-0.6163890320734702,0.980282159818904,0.21246586118832655,4.461463745862219,0.11659556001474214,3.660889093620552,0.9646291461913123,0.2200753314077163,8.922927491724439,3.339579153747256,2.7297936591402108,5.123994553867398,9154.540870171246,0.22786093364623772,4.188106491136332,7341.538779370769,2.753011613868116,22.581615890083633,55.171744324970135,1205.1891925527677,8.878392980746156,0.13820471898352688,0.036862088634773936,0.8510426726844126,0.003944225541833813,1700.444437758469,0.18197310947494122,2.3970301748968965,24.023314818498456,54.45668597190618,1041.1438699126354,11.181769167897944,0.08931986783161017,5.8155875512208945,1711.6615284887707,0.18013343897293613,0.2324646555157308,34.975459235522635,0.4072771351618125,9.519531236317059,0.032632440838226986,140.74115044247787,0.1556871133213251,3.0837171567859656,23.503318584070797,75840.07300884956,1695032.2887168142,6922.78975680443,0.09888694884048627,129.71681415929203,0.14349205106116375,0.3630958164482039,8.512789873875056,0.036176957353889934,6.405163832954742,0.02250099561927519,73864.93916908136,24.656309817720423,0.0007055151741215397,10.89484534582491,0.010033948320929915,0.04137516911148234,worm1_1047.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0ed8f7facf6632ae489aeb6f85979b6ed8a91f3d,2D,"(1.0, 1.0)","(224, 224)",91.6322943239796,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",34.0,143.0,416587450.0,2.6120973603633884,56.0,2.9155203027500813,255.0,33.13471140660901,92.89217443249701,96.0,0.0,255.0,23.08202113534858,101.8285931138577,-0.576200511297338,416587450.0,0.18094166655366326,1740.106304750139,20.740630121799768,261.1935375341104,-12.617954733916708,10.068962617779524,0.2718043451257891,0.9474040314194824,0.23146144180216105,0.8287769166211953,0.21717394391751454,0.8897566638996867,0.8880353783476037,0.9978072989068438,0.9809525847481351,-0.6206522380850311,0.9798513520408599,0.20598594228684938,4.276836482723237,0.11635746505360378,3.5994606858250924,0.9592627022476794,0.19302901477942458,8.553672965446475,3.2928217968632643,2.5851917407263274,5.070082461127637,9412.076363998407,0.23427111618872976,4.069368134945388,7269.512395459976,2.6070821830530693,20.851777180406213,55.88600159299084,1121.7631172839506,9.42526427133376,0.14718878792435452,0.03618210658564648,0.7987029315320038,0.0042085518175170354,1667.3689484676188,0.1842356684647234,2.308679567726072,22.543891767537556,54.48611978655536,958.5323921610855,11.950813248020062,0.09904870763535367,5.853579740455864,1565.5941920030248,0.17017155767130998,0.2252028574273198,33.7519745457588,0.3943700195177847,8.86566906547687,0.035416485272057055,135.19221967963387,0.15468217354649183,3.2081764579591447,23.685354691075514,72794.86956521739,1569351.2414187642,7509.938979583586,0.10709698670932352,136.65903890160183,0.1563604564091554,0.38442005601918866,9.027945691545952,0.04103848998461002,6.273179997696191,0.021754281162883315,70681.81590729386,24.376244100376816,0.0007127322775570995,11.0221000551345,0.009285583519177245,0.04359432277353495,worm1_1067.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},9e0247ccb5e68c9102a78a256d2a812be33a559d,2D,"(1.0, 1.0)","(224, 224)",75.80536511479592,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",27.0,131.0,283010541.0,2.5955815387991508,57.0,2.5116166956696753,255.0,32.236375885966346,73.779594782955,69.0,0.0,255.0,23.245253855237877,83.9301420380834,0.16340377449772342,283010541.0,0.18414645363268997,1600.8401361958151,14.632082972111913,214.6057458081043,10.281837348252406,9.56171994588251,0.16299515359625966,0.966466971428988,0.14611268911009184,0.6140600589577836,0.14119980747554906,0.9289623679363017,0.9284106162876282,0.998685030063307,0.9879199959324603,-0.7230148291135767,0.9880118096830826,0.13732361761567888,3.5046240945089036,0.14125132612931177,3.309442683013139,0.9686151329465222,0.260566179356409,7.009248189017807,3.1329874520851813,2.4311787748696925,4.582349617936737,15050.972023098368,0.37462594641324093,3.133445208664513,7398.267921146953,2.4454395780033407,14.690561529271207,63.87066905615293,892.0154818797292,12.900033166772346,0.19001557864887664,0.02615423222085234,0.4307003362226548,0.004309482463936655,1069.204618524802,0.1765924407198935,2.390810432903208,17.464857996613876,129.35995985308688,1568.6542615344513,28.505454753728863,0.14422713431447262,6.422877541017031,768.8950156693506,0.12432875749539718,0.15082387495021904,82.46430521623209,0.3255057987835139,6.050201327872962,0.04075009280046527,72.45871559633028,0.16618971467048227,2.899545492803637,19.41743119266055,266736.5229357798,3241802.4266055045,38661.300041368195,0.14189372440189715,72.66055045871559,0.1666526386667789,0.4024133385205416,7.40877403755914,0.06122644277056972,5.916349668745409,0.010852250099561927,258245.49221446004,32.18518508144382,0.001095082853059948,5.122772644734173,0.009020264178945997,0.048090505818474516,worm1_1087.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},6e8d32618319eda536a374fa20dd94142b97bcfb,2D,"(1.0, 1.0)","(224, 224)",73.23096699617346,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",23.0,115.0,236719822.0,2.454215102348924,52.0,2.472864552617934,255.0,29.178370523638645,68.04843687773796,66.0,0.0,255.0,21.42144281131909,76.75982308515125,-0.0361837560940415,236719822.0,0.19501342638785205,1261.4806785602332,12.589110487643136,125.44439716609419,2.817484923459693,7.541728791761688,0.14607338767403472,0.9619836188641945,0.13295254736986753,0.5750229353684674,0.12801981348816469,0.9350078236032965,0.9346207746465357,0.9988213303994088,0.988993640829248,-0.7266821195472717,0.9855567075609364,0.12662692826118693,3.27722335828754,0.15152371245889718,3.1203247898923694,0.9673179040407228,0.23601606268262137,6.554446716575082,2.9667823669498787,1.9219505448589305,4.375789693463404,15916.58129231382,0.39617137824357374,2.879827323595376,7834.859418558343,1.935839412816185,12.642821585025887,65.05864197530865,790.5807447232179,14.203060095808365,0.21018363625151593,0.024481246431360865,0.3566047862140582,0.004520096942487917,1062.8084993747054,0.18994905048500257,2.062774600901684,14.740231640005831,149.43725916210116,1638.7791102422948,33.69030511679818,0.17550334648853155,6.433114720793417,645.6945031073694,0.11297509170423511,0.13933069494225409,94.28911600765105,0.30080232426076825,4.8362277843977335,0.045308884435469675,65.52956298200515,0.16845646010798238,2.8335392972555034,17.961439588688947,388655.98457583546,5083776.354755784,56031.20012995809,0.16198408878829731,62.90745501285347,0.1617158226551503,0.3877007648316142,7.753249847804228,0.051283264660017404,5.813333334109644,0.009682397451214655,377989.18369558745,25.412302068602813,0.0010605759086101188,6.563373755167254,0.0053813648795030524,0.06603853446564867,worm1_1094.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},be672394e17db32fcc25865c4a4a1ca0a127e107,2D,"(1.0, 1.0)","(224, 224)",87.94585060586735,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",20.0,127.0,323086260.0,2.533385897761144,40.0,3.7081436152303127,255.0,29.07981494328182,80.5241935483871,83.0,0.0,255.0,18.195388512042367,89.67593155423296,-0.06288112953063252,323086260.0,0.21241160186497615,1557.6269535013682,16.13885840708268,228.08013777257315,-0.8132894180945359,8.141111907569783,1.159043895946497,0.7506324741554296,0.5611972193016006,1.4588408529854568,0.8388530124208469,0.7879199996053273,0.7726274118477001,0.9911816291061062,0.9566377937239634,-0.344287179701497,0.9059035707874169,0.28651762799303504,3.793854922744892,0.1059817920579702,4.190608344617152,0.8427989341978424,0.2573716359815405,7.587709845489784,3.2833435284222636,2.3250389508790703,5.308230902850383,6183.959577857428,0.15392173381763807,7.125111851045365,8533.84851652728,2.339205831036986,16.676896654719236,42.20454998008761,627.7887544802867,9.147125197842504,0.1785552753275614,0.10044706472031376,2.2814080130052488,0.012938600564392746,2711.3669087743083,0.1753974748069073,2.7904024375072076,19.142800513194434,26.107505921510736,376.9601839103202,6.6014909281862675,0.13526169007028618,4.833035606565459,6033.273618665211,0.3886003661323826,0.384651284348865,19.23902143952375,0.645999904295234,13.319480744659588,0.08210997754399535,584.185623078742,0.13813800498433246,4.031962419177653,24.321352565618348,20457.72239300071,352340.79806100734,1855.5786331752518,0.1283077285668188,1057.1371482620004,0.24997331479356832,0.5082669599557064,13.534347081378423,0.058332590305674226,5.798296768524598,0.10526184786937474,20367.47014659278,48.8302758460508,0.00040004757074656237,22.462513513547098,0.01676759319451522,0.023943968741121514,worm1_110.jpg
v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},312cefd477ecf1046ce9b48409a08823c5b77b23,2D,"(1.0, 1.0)","(224, 224)",84.16456074617346,0.0,255.0,f783fa85b222ac604b2fba6f7d503ef1f1be68ff,"(1.0, 1.0)","(224, 224)","(0, 0, 224, 224)",40176,1,"(111.5, 111.5)","(111.5, 111.5)",31.0,141.0,346269409.0,2.6170866980560876,65.0,2.327243792951167,255.0,34.768255555186805,82.74873058542413,77.0,0.0,255.0,26.10303008289511,92.83755948008886,-0.11108509468724473,346269409.0,0.17984236295782433,1771.460036719929,17.537320679164058,232.33678660280768,1.6154825081652873,10.48984421982519,0.1956716907960415,0.9633661628166664,0.17095323719771754,0.6833698563188818,0.16588297182205203,0.9176422542541464,0.9167457207671919,0.9984226972294559,0.9858975907010248,-0.6948851752914769,0.9865240711237986,0.15705493029115122,3.868302377917952,0.13218298295743114,3.4108739644590846,0.9682338138556319,0.24430313675905685,7.736604755835906,3.194451697472186,2.6713789776553085,4.745688176861871,13220.262544802867,0.3290587053166783,3.4908618897837176,7225.346774193548,2.6838662349818505,17.570141377937077,61.58442851453604,1039.4831242532855,11.301059449385649,0.16883955826893388,0.02858883607390771,0.5357617698428251,0.0039925544998327045,1194.7239290392101,0.1727681177985082,2.4693631657404906,19.782560996856763,105.84018721940996,1660.1263814292424,20.476702798928965,0.12085465064655783,6.204426889925214,1024.7981517139685,0.14546929254561183,0.1722608024691358,70.17569923440612,0.3580583164972183,7.3018768220267685,0.03567224417835089,92.61178509532063,0.1605056934061016,3.0260145556560105,20.341421143847487,197569.0849220104,3255231.0398613517,21640.919658971306,0.12449587357824377,79.44367417677643,0.13768401070498515,0.3501336888205081,6.639904360096534,0.043692278788895,6.16985391731062,0.014361808044603743,192720.87111065723,29.524967140183605,0.0009824913903622799,5.623806243104957,0.011277910215344304,0.039638083946705906,worm1_1105.jpg
